timestamp,ina219_voltage,ina219_current,ina219_power,acs712_1_current,acs712_2_current,load1_power,load2_power,relay1_state,relay2_state,battery_soc,total_load_power,grid_connected,hour
2025-11-30T16:15:18.570793,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:20.261324,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:22.011899,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:23.746028,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:25.466379,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:27.065516,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:28.765128,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:30.434492,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:32.070095,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:33.751942,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:35.636094,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:37.785546,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:39.481280,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:41.246113,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:43.045611,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:44.763709,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:46.498838,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:48.198164,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:49.872853,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:51.584869,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:53.271513,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:55.043702,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:56.743639,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:15:58.398322,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:00.091945,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:01.893477,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:03.615361,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:05.695226,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:07.463721,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:09.311511,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:11.511120,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:13.489893,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:15.336944,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:17.108521,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:18.845668,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:20.489308,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:22.302733,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:23.840151,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:25.352496,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:27.106914,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:28.696671,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:30.160511,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:31.659044,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:33.374574,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:35.270265,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:37.038506,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:38.776390,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:40.751166,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:42.392468,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:44.024638,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:45.658112,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:47.286994,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:49.088633,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:50.622950,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:52.491804,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:54.194550,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:55.798613,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:57.392178,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:16:59.051740,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:00.702819,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:02.423624,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:04.285852,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:06.969407,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:09.773305,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:13.049939,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:15.069822,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:16.961657,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:18.832581,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:20.581986,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:22.381093,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:24.284983,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:26.001720,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:27.633138,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:29.248986,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:30.916175,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:32.818056,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:34.514320,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:36.267476,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:37.912057,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:39.821965,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:42.615036,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:44.361694,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
2025-11-30T16:17:45.986478,0,0,0,0.0,0.0,0.0,0.0,0,1,75.00102228333334,0.0,1,16
